Client Name:  Marketocracy Capital Management, LLC,,,,,
8/9/2018,293537.027,0,358.57604,0,0.2926,0.2926
8/8/2018,292679.6027,0,358.57604,0,0.42229,0.42229
8/7/2018,291447.3462,0,358.57604,0,-0.21719,-0.21719
8/6/2018,292082.5054,0,358.57604,0,0.96261,0.96261
8/3/2018,289294.2879,0,358.57604,0,0.22018,0.22018
8/2/2018,289016.496,0,0,0,1.9335,1.9335
8/1/2018,283534.368,0,0,0,-0.43043,-0.43043
7/31/2018,284760.0721,0,0,0,0.71851,0.71851
7/30/2018,282728.6428,0,0,0,-2.54759,-2.54759
7/27/2018,290119.7029,0,0,0,-2.1872,-2.1872
7/26/2018,296607.0851,0,0,0,-4.3745,-4.3745
7/25/2018,310175.7134,-0.00484,0,0,1.76207,1.76207
7/24/2018,304734.0952,0,70.75813,0,-0.41471,-0.41471
7/23/2018,306003.4268,0,70.75813,0,0.41374,0.41374
7/20/2018,304742.2794,0,70.75813,0,-0.21526,-0.21526
7/19/2018,305399.8459,0,70.75813,0,-0.61371,-0.61371
7/18/2018,307286.1151,0,70.75813,0,0.32225,0.32225
7/17/2018,306298.8514,0,70.75813,0,0.61745,0.61745
7/16/2018,304418.7669,0.00436,70.75813,0,0.35701,0.35701
7/13/2018,303335.5569,0,70.75813,0,-0.41442,-0.41442
7/12/2018,304598.1587,0,70.75813,0,2.05084,2.05084
7/11/2018,298475.4565,0,70.75813,0,-1.26909,-1.26909
7/10/2018,302312.9821,0,70.75813,0,0.60821,0.60821
7/9/2018,300484.9654,0,70.75813,0,0.83414,0.83414
7/6/2018,297998.6607,0,70.75813,0,2.02396,2.02396
7/5/2018,292085.5307,0,70.75813,0,1.97877,1.97877
7/3/2018,286416.6152,0,70.75813,0,-1.84412,-1.84412
7/2/2018,291799.0577,0,70.75813,0,1.26082,1.26082
6/29/2018,288235.689,0,0,0,-0.33388,-0.33388
6/28/2018,289201.2687,0,0,0,1.03295,1.03295
6/27/2018,286244.5122,0,0,0,-2.41936,-2.41936
6/26/2018,293341.4942,0,0,0,1.59753,1.59753
6/25/2018,288728.9491,0,0,0,-3.6103,-3.6103
6/22/2018,299543.3666,0,0,0,-1.11321,-1.11321
6/21/2018,302915.4539,0,0,0,-1.08532,-1.08532
6/20/2018,306239.143,0,0,0,0.30512,0.30512
6/19/2018,305307.6007,0,0,0,-1.04574,-1.04574
6/18/2018,308534.0549,0.00128,0,0,0.55267,0.55267
6/15/2018,306838.236,-0.00167,0,0,-0.46532,-0.46532
